scheduler,seed,tasks,arrival_mode,card_cv,card_jfi,max_min_ratio,avg_load_imbalance,completion_rate,throughput,flat_pct,bursty_pct
p2c,2024,800,poisson,1.1467217584372562,0.45745456311295973,34.896640546090765,133558885031.53816,1.0,1.5533980582524272,25,75
p2c,21,800,poisson,1.1669606504550223,0.4603878285100531,44.874590440421564,164505663629.26385,1.0,1.556420233463035,0,100
p2c,42,800,poisson,1.1307486282438646,0.47516391549034337,43.989276962930774,164094260328.26736,1.0,1.5594541910331383,0,100
p2c,99,800,poisson,1.1875097711632823,0.4518050652169679,46.20467570591304,169582524262.45514,1.0,1.5533980582524272,0,100
p2c,123,800,poisson,1.1671172526745683,0.459100255918412,46.46406138996596,168957025501.44244,1.0,1.556420233463035,0,100
p2c,2024,800,poisson,1.2017248066340587,0.4440374019210539,44.393326185373596,163741100316.75705,1.0,1.5533980582524272,0,100
stps-spatial,21,800,poisson,0.3286473882594137,0.8820004898411409,1.6402905390534366,8424188358.69106,1.0,1.556420233463035,100,0
stps-spatial,42,800,poisson,0.3022026897816112,0.8941033191744091,1.6627192132259991,8552760515.135166,1.0,1.5594541910331383,100,0
stps-spatial,99,800,poisson,0.31071165073032686,0.8897927796785811,1.663004408834836,8466911074.454761,1.0,1.5533980582524272,100,0
stps-spatial,123,800,poisson,0.3313767513338661,0.8823551131948731,1.682300625520943,8302852447.954699,1.0,1.556420233463035,100,0
stps-spatial,2024,800,poisson,0.3377990189396265,0.8798238272072082,1.714254115576923,8182663528.8944845,1.0,1.5533980582524272,100,0
stps-spatial,21,800,poisson,0.612950823227593,0.7296965086938747,9.953550327180265,47253182050.69843,1.0,1.556420233463035,75,25
stps-spatial,42,800,poisson,0.6044469025559125,0.734955781756843,10.14964151976522,47636708357.4812,1.0,1.5594541910331383,75,25
stps-spatial,99,800,poisson,0.5986978984828891,0.7355395377878235,9.3302678329381,48137361346.76032,1.0,1.5533980582524272,75,25
stps-spatial,123,800,poisson,0.6157516682952803,0.7263911622170686,11.070066397131813,48463355410.94266,1.0,1.556420233463035,75,25
stps-spatial,2024,800,poisson,0.62850043391821,0.7215834978438924,10.44624895492548,48179340836.705,1.0,1.5533980582524272,75,25
stps-spatial,21,800,poisson,0.9117780147810846,0.569974898288368,16.31009756694974,91999206470.1847,1.0,1.556420233463035,50,50
stps-spatial,42,800,poisson,0.8940369895596453,0.5756165815621949,17.345988299373687,91859184320.06284,1.0,1.5594541910331383,50,50
